지점명, 전화번호, 주소, 위도, 경도
세종 고운점 (오픈 예정),0,세종시 고운동,36.5241551273918,127.237632940381
안양 호계점 (오픈 예정),0,경기도 안양시 동안구 호계동,37.3750923511743,126.957201177225
서울 이수역점 (오픈 예정),0,서울시 동작구 사당동,37.483932674151,126.9731356614
안산 신길점 (오픈 예정),0,경기도 안산시 단원구 신길동,37.3348020016666,126.783145863295
시흥 신천점 (오픈 예정),0,경기도 시흥시 신천동,37.4355591381896,126.781870202784
서울 남부터미널점 (오픈 예정),0,서울시 서초구 서초동,37.4900861966504,127.01953478052
부산 망미시장점 (오픈 예정),0,부산시 수영구 망미동,35.1742365026598,129.101004990512
경북 도청점 (오픈 예정),0,경북 안동시 풍천면,36.5561890573722,128.506522707702
파주 교하점 (오픈 예정),0,경기도 파주시 교하동,37.7521392701942,126.748059991604
인천 아라점 (오픈 예정),0,인천시 서구 원당동,37.5951276899196,126.70165291632
서울 서대문역점,02-733-1152,서울시 종로구 경교장길 35,37.5688537151032,126.965114852628
군포 당동점,031-399-5897,경기 군포시 용호1로60번길 4,37.3474918655688,126.940448829452
충남 대천해수욕장점,041-935-1259,충남 보령시 대해로 898,36.3054747195459,126.516712033487
천안 두정점,041-566-7393,충남 천안시 서북구 두정동 1994,36.8342041934206,127.129979981347
서울 중곡점,02-444-8892,서울시 광진구 중곡동 150-72,37.5621708560976,127.087406989792
포항 양덕점,054-242-9688,경북 포항시 북구 양덕동 2078,36.0828689901301,129.409270750572
나주 금천점 (오픈 예정),0,전남 나주시 금천면,35.0308501080124,126.753479275255
전주 송천점,063-251-8200,전북 전주시 덕진구 솔내로 144,35.8628343134469,127.127036451322
오창 1산단점,043-214-7778,충북 청주시 청원구 오창읍 중심상업1로 50,36.7143140887891,127.427861400502
화천 산양점,033-442-0926,강원도 화천군 상서면 영서로 7719,38.2072909271433,127.662414508072
인천 시민공원역점,032-872-2922,인천시 미추홀구 미추홀대로657번길 1,37.4560139018086,126.67976164277
